Date,open,high,low,close
1/3/2022,734,737.5,727.8,731
1/4/2022,734.6,744.9,734,744
1/5/2022,742.5,758.5,741.7,758
1/6/2022,741.4,746.2,727.1,727.1
1/7/2022,727.4,729.4,710.8,715.8
1/10/2022,724.2,725.3,701.4,702.7
1/11/2022,718.1,721.1,704.2,710
1/12/2022,717.1,718.3,700.5,708.7
1/13/2022,702.1,704.8,685.4,690
1/14/2022,683.7,685.1,675.2,675.4
1/17/2022,677.1,687.3,668.1,686.4
1/18/2022,688.4,689,669.5,673
1/19/2022,679.1,704.7,676.6,697.7
1/20/2022,702.8,707.6,686.1,703.9
1/21/2022,691.1,701.5,688.8,697.2
1/24/2022,690.7,699.8,662.8,662.8
1/25/2022,678,679,661.7,667
1/26/2022,673.7,687.9,671.7,683.6
1/27/2022,675.4,694,668.4,694
1/28/2022,728.7,733.9,687,716.4
1/31/2022,730,731.1,704,722.6
2/1/2022,721,733.6,717.8,732.2
2/2/2022,735,738.5,727.1,729.3
2/3/2022,732,733.1,708.7,711.7
2/4/2022,709.4,713.3,699.3,706.1
2/7/2022,710,719.1,703.2,716.1
2/8/2022,716.1,723.5,703.3,706.1
2/9/2022,713,720.7,711.5,716.6
2/10/2022,716.4,717.7,697.5,706.2
2/11/2022,695,703.4,684.2,685
2/14/2022,672.8,674.5,653,670
2/15/2022,667.5,694,666.6,694
2/16/2022,700,701.6,680.3,687.6
2/17/2022,694.9,697.9,675.3,684.1
2/18/2022,679.1,694.6,676.1,686.3
2/21/2022,693.6,696.5,666.6,672.2
2/22/2022,650.4,677.8,648.6,669.2
2/23/2022,676.2,684.8,665.8,665.8
2/24/2022,631,649.5,625,635.9
2/25/2022,638.6,666.6,636.3,666.6
2/28/2022,650.7,664.8,636.6,659.9
3/1/2022,659,661.1,625.8,625.8
3/2/2022,625,646,619,638
3/3/2022,629.7,641.2,614.3,617.4
3/4/2022,605.6,609.5,577.8,577.8
3/7/2022,554,585.8,543.9,567.8
3/8/2022,555,582.9,549.9,550.1
3/9/2022,578.3,602.6,561.9,602.6
3/10/2022,600,603.5,576,587.9
3/11/2022,592.6,627.8,585.6,594.9
3/14/2022,596.9,604.5,581.6,598.7
3/15/2022,588.6,593.4,572,590
3/16/2022,605.3,642.7,602.2,628.9
3/17/2022,637.5,638.2,623,629.8
3/18/2022,634.9,641.6,621.6,639.4
3/21/2022,638,642,629.7,633.2
3/22/2022,631.1,646.4,629.6,643.9
3/23/2022,644.2,646.4,622.2,624.3
3/24/2022,633,639.2,619.6,624.7
3/25/2022,627.9,640.2,623.6,626
3/28/2022,628.1,646.6,623.9,635.7
3/29/2022,647.5,675.2,645.6,671.8
3/30/2022,669.5,669.6,655.1,660.5
3/31/2022,666.2,668.3,647.2,649.4
4/1/2022,650.2,653.9,642.1,649.6
4/4/2022,653.8,664.5,645.7,663.9
4/5/2022,666,667.5,654.3,660.9
4/6/2022,657.6,660.5,630.7,636.2
4/7/2022,641.4,645.7,623.2,624
4/8/2022,632.4,636,622,631.7
4/11/2022,625.3,627.8,616.6,619.9
4/12/2022,611.6,639.4,607.3,630.9
4/13/2022,639,643.4,614.4,634.1
4/14/2022,639,642.4,631.6,640
4/19/2022,639.9,639.9,625,634.1
4/20/2022,631,643.9,627,642.3
4/21/2022,640,658.6,636.4,653.4
4/22/2022,638,650,636,639.6
4/25/2022,627,630,608.5,615.6
4/26/2022,622.1,622.9,606.2,607.3
4/27/2022,610.1,622,603.1,616.6
4/28/2022,626,628.5,607.1,617.2
4/29/2022,621.3,632,618.1,619.5
5/2/2022,614.4,618.6,603.1,606.6
5/3/2022,613,619,596.1,600.5
5/4/2022,602,607,593.3,593.3
5/5/2022,610.7,610.7,572.4,574
5/6/2022,570.5,571.3,554.5,561.9
5/9/2022,553.4,564.1,542.4,542.6
5/10/2022,555.4,560.2,545.1,549.5
5/11/2022,558.5,573,555,573
5/12/2022,555,567.7,543.2,565.4
5/13/2022,570,581.3,564.1,581.3
5/16/2022,577.8,581.3,572,575
5/17/2022,580.7,594.4,578.6,590.1
5/18/2022,596,596,576.7,578.5
5/19/2022,571.2,572,560.1,568.5
5/20/2022,564.2,569.7,551,556.6
5/23/2022,564.4,565,549.8,560.9
5/24/2022,551.5,559.3,544.2,551.8
5/25/2022,557,557,537.5,551
5/26/2022,552.2,574.2,551.2,571.2
5/27/2022,577,594.3,576,593.4
5/30/2022,602.2,616.6,601.9,608.6
5/31/2022,605.3,608.7,595.9,597.2
6/1/2022,601.4,612.6,595.7,597.8
6/2/2022,598.5,611.3,598.5,608.1
6/3/2022,614.4,616.5,605.3,609.1
6/6/2022,613.7,620.9,613.1,613.8
6/7/2022,610,612.6,598.6,608.4
6/8/2022,614,614,597.3,601.7
6/9/2022,589.3,601.8,583.8,587.6
6/10/2022,580,584.3,571.4,572.9
6/13/2022,560,565,548.9,550
6/14/2022,555.8,555.8,540.6,544
6/15/2022,552.3,555,542.5,551.8
6/16/2022,548.1,548.4,535,539.4
6/17/2022,546.4,553.7,541.3,544.7
6/20/2022,547,550.9,537.3,542.5
6/21/2022,547,562.4,544.6,553.5
6/22/2022,547,555.4,539.3,551.7
6/23/2022,546.4,569.8,545,566
6/24/2022,571.9,589.8,568.4,587.4
6/27/2022,598,602.9,578.3,580.2
6/28/2022,588.7,596.8,578.6,589.1
6/29/2022,578.5,592.6,575,589
6/30/2022,573.5,582.1,565.7,581.7
7/1/2022,577.2,588,571.4,580
7/4/2022,586,590.5,581.8,585.3
7/5/2022,590.9,591.6,567.6,572
7/6/2022,582,600.8,580.6,597.6
7/7/2022,603.2,616.1,603.2,607.6
7/8/2022,611.9,615,601.3,606.9
7/11/2022,586,606.3,585.3,604.3
7/12/2022,600,612.6,595.4,610.7
7/13/2022,609.2,614.3,594.2,606.2
7/14/2022,602.2,610.1,599.3,606.4
7/15/2022,605.7,608.8,587.5,608.4
7/18/2022,608.6,618.9,608,614.3
7/19/2022,609,630.9,603.9,628.1
7/20/2022,633.8,635.9,623.6,625.7
7/21/2022,620,637.9,620,633.3
7/22/2022,632.8,641,628.5,634.7
7/25/2022,633.2,643.1,630.3,637.4
7/26/2022,635,637.4,621.3,625.2
7/27/2022,618,637.7,608.1,636
7/28/2022,644.1,663.3,640.9,662.9
7/29/2022,666.8,680.1,666.7,675
8/1/2022,671.9,688.3,668,688.3
8/2/2022,681.1,682.3,670.7,679
8/3/2022,675.4,685.6,674.8,685.6
8/4/2022,688,694.3,686.5,693
8/5/2022,694.4,698.8,678,682.2
8/8/2022,685.2,694.9,685.1,689.1
8/9/2022,688,691.1,678.1,679.5
8/10/2022,675.3,692.4,672.3,690
8/11/2022,695,698.1,686.3,693.6
8/12/2022,692.1,697.6,689,694.5
8/15/2022,696.5,699.5,692.4,699.5
8/16/2022,699.5,699.7,692.5,698.9
8/17/2022,699.6,707.7,697.4,700.4
8/18/2022,700,708.4,698.7,706.9
8/19/2022,700.7,708.1,695.7,698.3
8/22/2022,692,693.6,679.2,682.6
8/23/2022,676,686,675.2,679.8
8/24/2022,674.2,688.4,674,686.8
8/25/2022,691.1,693,681.6,687.7
8/26/2022,690.6,691.2,664,669
8/29/2022,655,662.9,651,662.9
8/30/2022,667,675.5,655.9,661.8
8/31/2022,664.8,666.5,647.5,647.5
9/1/2022,635.2,638,625.4,632.8
9/2/2022,638.2,646.6,629.8,644.6
9/5/2022,629.6,635.9,626,635
9/6/2022,633.2,642.2,629.1,638.1
9/7/2022,634.4,644.2,631.2,641.4
9/8/2022,644.7,645.8,630.4,643.5
9/9/2022,642.5,654.4,642.4,652.3
9/12/2022,652.5,662,649.4,658.9
9/13/2022,664,668.9,650.6,650.9
9/14/2022,645.7,656.8,645,654.2
9/15/2022,654.1,658.4,637.7,641.4
9/16/2022,634,641.8,630.1,639.5
9/19/2022,632.9,645.5,627.9,641
9/20/2022,643.9,651.4,630,634
9/21/2022,630,643.6,621.8,643.6
9/22/2022,631.4,641.3,623.5,624.9
9/23/2022,629.3,629.3,603.2,603.2
9/26/2022,601.5,621.3,601,606.8
9/27/2022,611.9,624.7,604,604.2
9/28/2022,599.1,614.2,595.7,613.2
9/29/2022,610.2,612.6,598.7,608
9/30/2022,610.9,613.5,598,610.4
10/3/2022,601,610.5,594.7,608
10/4/2022,614.1,647.5,611.1,646.8
10/5/2022,644.2,652.5,632.6,637.3
10/6/2022,641.8,643,630.3,635.1
10/7/2022,632.6,635.6,616.5,618.2
10/10/2022,607.9,617.3,600.1,610.5
10/11/2022,605.3,613.7,601.8,610.5
10/12/2022,622.6,630.3,611.1,621.9
10/13/2022,624,624,595.3,617.5
10/14/2022,628,641.5,617.2,625.2
10/17/2022,627.6,641.8,614.1,637.7
10/18/2022,646.6,646.9,632.6,636.1
10/19/2022,635.5,641,625,625
10/20/2022,626.7,636.5,622.8,634
10/21/2022,626.5,636.9,619.9,631.5
10/24/2022,629.5,644.6,623.5,635.9
10/25/2022,641,658.5,637.2,658
10/26/2022,659.4,663.6,651.1,663
10/27/2022,658,663.4,651.6,655.4
10/28/2022,650,651.1,640.3,649.3
10/31/2022,649,649.5,638.1,639
11/1/2022,652,663.8,646.5,650.8
11/2/2022,655.6,660.7,634.7,636.7
11/3/2022,632.2,632.8,623.6,630
11/4/2022,638,671.8,637.2,666.2
11/7/2022,661,665.5,653,656
11/8/2022,651.9,659.8,647.7,657.5
11/9/2022,653,661.1,652.4,658
11/10/2022,650,687.7,647.7,686.8
11/11/2022,702.8,712.5,698.8,706.2
11/14/2022,704.5,706.6,698.4,700.7
11/15/2022,701.3,710.8,699.6,704.2
11/16/2022,702.1,707.7,693.2,698.6
11/17/2022,701.4,703.5,689.7,696.8
11/18/2022,700.8,706,694.2,698.2
11/21/2022,696,702.7,690.6,699.3
11/22/2022,697,698.5,687.4,697.9
11/23/2022,702,703,695,701.9
11/24/2022,700,704,697.1,702.2
11/25/2022,702.2,702.5,693.2,700.2
11/28/2022,694.7,701.2,690.6,698.7
11/29/2022,704.7,706.9,699.8,702
11/30/2022,708,737.3,706.5,737.3
12/1/2022,736.9,737.9,717.1,721
12/2/2022,715,722.5,707.3,715.3
12/5/2022,716.4,718.5,710.1,714.5
12/6/2022,713,715.3,708.4,714.2
12/7/2022,707.6,717.5,707.2,712.8
12/8/2022,713.2,721.7,711.6,719
12/9/2022,721.9,726.8,715.4,720.3
12/12/2022,714.6,719.3,711.4,716.2
12/13/2022,717.6,739.4,714.7,726.7
12/14/2022,724.2,729.5,718.4,727.4
12/15/2022,718.8,720,691,701.6
12/16/2022,695,698.6,684.6,693.8
12/19/2022,695.5,702,686.3,687.3
12/20/2022,681,683.6,676.1,682.9
12/21/2022,687,691.7,682.7,691.5
12/22/2022,691.3,695.8,681.3,684
12/23/2022,681.5,683.2,670.1,673.8
12/27/2022,683.3,692.7,682.3,690.2
12/28/2022,692.3,694.7,685.8,686.6
12/29/2022,684.7,699,682.2,696.5
12/30/2022,696.6,696.6,676.6,679.9
1/2/2023,689.4,695,685.1,694.1
1/3/2023,691.5,711.3,691.3,702.8
1/4/2023,714.9,738,710.9,738
1/5/2023,729,734.7,722.1,728.4
1/6/2023,734,748.8,728.8,748.8
1/9/2023,748,761.6,746.1,759.6
1/10/2023,748.7,758.4,747.2,756.3
1/11/2023,764.6,775.3,759.5,772.3
1/12/2023,769.2,787.9,768.9,773.7
1/13/2023,780.6,787.6,772.8,785.3
1/16/2023,788.2,793.8,782,792.7
1/17/2023,789.3,803.3,787,797.4
1/18/2023,789.7,805.8,787.2,801.9
1/19/2023,798.7,799.6,774.7,776.6
1/20/2023,783,789.8,775,782.8
1/23/2023,786.8,791.1,776.6,788.1
1/24/2023,790.3,795.3,786.1,794.8
1/25/2023,793.5,799.7,787.1,792.3
1/26/2023,797.1,804.2,794.5,801.6
1/27/2023,785.6,808.2,783.7,801
1/30/2023,791.8,799.7,786.7,798.8
1/31/2023,797.4,802.6,792.6,800
2/1/2023,800,802.1,792.2,795.5
2/2/2023,798.3,812.8,795.3,809.1
2/3/2023,807,830.5,804.5,829.4
2/6/2023,820.2,825.7,807.4,814.2
2/7/2023,812.6,814,800.7,807.4
2/8/2023,814.3,818.1,798.5,800.1
2/9/2023,807.7,813.8,806.9,809.2
2/10/2023,804.7,808,790.8,797.6
2/13/2023,800.5,812.9,798,810.3
2/14/2023,811.3,817.6,804.5,810.5
2/15/2023,809.3,830,807.6,822.6
